year,topic_broad,share_pct
2003,Healthcare,11.853088480801336
2004,Healthcare,10.4
2005,Healthcare,4.2105263157894735
2006,Healthcare,11.122661122661123
2007,Healthcare,10.364145658263306
2008,Healthcare,11.879194630872483
2009,Healthcare,7.440925087983912
2010,Healthcare,6.000937646507267
2011,Healthcare,7.127545551982852
2012,Healthcare,7.056345444971038
2013,Healthcare,10.798722044728434
2014,Healthcare,10.021436227224008
2015,Healthcare,5.646437994722955
2016,Healthcare,6.459784673844206
2017,Healthcare,3.48297213622291
2018,Healthcare,4.484304932735426
2019,Healthcare,7.190860215053764
2020,Healthcare,8.971428571428572
2021,Healthcare,13.602550478214665
2022,Healthcare,9.0
2023,Healthcare,9.575688073394495
2024,Healthcare,8.511722731906218
2025,Healthcare,7.264050901378578
1999,Migration & Asylum,1.2658227848101267
2000,Migration & Asylum,3.110773899848255
2001,Migration & Asylum,2.595419847328244
2002,Migration & Asylum,0.7170435741864313
2003,Migration & Asylum,3.672787979966611
2004,Migration & Asylum,3.563636363636364
2005,Migration & Asylum,8.476454293628809
2006,Migration & Asylum,0.7796257796257797
2007,Migration & Asylum,1.9047619047619049
2008,Migration & Asylum,3.557046979865772
2009,Migration & Asylum,2.1116138763197587
2010,Migration & Asylum,5.625879043600563
2011,Migration & Asylum,3.376205787781351
2012,Migration & Asylum,6.582411795681938
2013,Migration & Asylum,7.220447284345048
2014,Migration & Asylum,4.394426580921758
2015,Migration & Asylum,4.802110817941953
2016,Migration & Asylum,7.473084230525649
2017,Migration & Asylum,5.108359133126935
2018,Migration & Asylum,6.950672645739911
2019,Migration & Asylum,1.747311827956989
2020,Migration & Asylum,2.2285714285714286
2021,Migration & Asylum,2.975557917109458
2022,Migration & Asylum,2.705882352941176
2023,Migration & Asylum,5.6192660550458715
2024,Migration & Asylum,6.6768603465851175
2025,Migration & Asylum,6.468716861081654
1999,Social Policy & Labor,15.18987341772152
2000,Social Policy & Labor,12.36722306525038
2001,Social Policy & Labor,16.48854961832061
2002,Social Policy & Labor,24.324324324324326
2003,Social Policy & Labor,14.913745130773512
2004,Social Policy & Labor,14.399999999999999
2005,Social Policy & Labor,11.911357340720222
2006,Social Policy & Labor,13.305613305613306
2007,Social Policy & Labor,9.859943977591037
2008,Social Policy & Labor,9.731543624161073
2009,Social Policy & Labor,14.429361488185016
2010,Social Policy & Labor,18.70604781997187
2011,Social Policy & Labor,16.559485530546624
2012,Social Policy & Labor,9.741969457609267
2013,Social Policy & Labor,10.095846645367413
2014,Social Policy & Labor,17.256162915326904
2015,Social Policy & Labor,12.770448548812666
2016,Social Policy & Labor,10.639645345155161
2017,Social Policy & Labor,14.396284829721361
2018,Social Policy & Labor,10.911808669656203
2019,Social Policy & Labor,11.96236559139785
2020,Social Policy & Labor,15.714285714285714
2021,Social Policy & Labor,14.34643995749203
2022,Social Policy & Labor,13.941176470588236
2023,Social Policy & Labor,16.055045871559635
2024,Social Policy & Labor,15.341488277268095
2025,Social Policy & Labor,11.930010604453871
