topic,party,overall_emotion_change_pp,party_total_contribution_pp,party_within_emotion_contribution_pp,party_composition_contribution_pp,early_party_topic_share_pct,late_party_topic_share_pct,early_party_emotion_pct,late_party_emotion_pct,early_count,late_count
Immigration,SP,6.909333929292844,-4.135758430105125,0.2383834403911566,-4.374141870496281,27.917981072555204,17.302452316076295,40.67796610169492,41.732283464566926,354,254
Immigration,Grüne,6.909333929292844,-3.035525490162371,-1.0620782450369766,-1.9734472451253946,16.32492113564669,12.125340599455042,50.72463768115942,43.258426966292134,207,178
Immigration,GLP,6.909333929292844,1.226158038147139,0.6130790190735695,0.6130790190735695,0.0,5.790190735694823,,21.176470588235293,0,85
Immigration,Mitte,6.909333929292844,-0.5088577347235234,-0.0743130504051725,-0.43454468431835086,13.564668769716087,10.08174386920981,12.790697674418606,12.162162162162163,172,148
Immigration,FDP,6.909333929292844,-1.0753057873971754,-0.20649441142002148,-0.8688113759771539,22.79179810725552,11.512261580381471,8.304498269896193,7.100591715976331,289,169
Immigration,SVP,6.909333929292844,14.438623333533897,5.557629327807773,8.880994005726125,19.400630914826497,43.18801089918256,28.455284552845526,46.214511041009466,246,634
Domestic Commerce,SP,6.273788054711495,3.3526849312812406,4.092642993282201,-0.7399580620009604,25.922330097087375,21.713316369804918,8.98876404494382,26.171875,267,256
Domestic Commerce,Grüne,6.273788054711495,1.1975756976868663,0.17282976802064084,1.0247459296662256,6.407766990291262,11.365564037319762,19.696969696969695,21.641791044776117,66,134
Domestic Commerce,GLP,6.273788054711495,1.0178117048346056,0.5089058524173028,0.5089058524173028,0.0,9.923664122137405,,10.256410256410255,0,117
Domestic Commerce,Mitte,6.273788054711495,0.4955656019170435,0.4725540087332245,0.02301159318381899,15.922330097087379,16.28498727735369,4.878048780487805,7.8125,164,192
Domestic Commerce,FDP,6.273788054711495,-0.4753081844907235,0.2874336364901688,-0.7627418209808923,28.640776699029125,17.302798982188293,6.101694915254238,7.352941176470589,295,204
Domestic Commerce,SVP,6.273788054711495,0.6854583034824646,0.6380364033043848,0.04742190017807983,23.106796116504853,23.40966921119593,14.285714285714285,17.02898550724638,238,276
Transportation,SP,-8.137793171806779,-3.6704791806832624,-2.85746976824517,-0.8130094124380923,23.266856600189932,17.881438289601554,22.040816326530614,8.152173913043478,245,184
Transportation,Grüne,-8.137793171806779,-1.6651023453744551,-3.636212426227726,1.9711100808532709,10.63627730294397,19.630709426627792,33.92857142857143,9.900990099009901,112,202
Transportation,GLP,-8.137793171806779,0.38872691933916426,0.19436345966958213,0.19436345966958213,0.0,7.580174927113703,,5.128205128205128,0,78
